,index,subject,dataset,idv label,group label,size,size of pre,size of next,dist to pre,dist to next,gap,pre gap,next gap
0,1,GL003,train,1,1,14885,,18881,,19.131126469708992,19.131126469708992,,20.049937655763422
1,2,GL003,train,2,1,18881,14885,13625,19.131126469708992,20.049937655763422,20.049937655763422,19.131126469708992,17.05872210923198
2,3,GL003,train,3,1,13625,18881,13240,20.049937655763422,17.05872210923198,17.05872210923198,20.049937655763422,18.027756377319946
3,4,GL003,train,4,1,13240,13625,15006,17.05872210923198,18.027756377319946,18.027756377319946,17.05872210923198,16.278820596099706
4,5,GL003,train,5,1,15006,13240,15853,18.027756377319946,16.278820596099706,16.278820596099706,18.027756377319946,17.08800749063506
5,6,GL003,train,6,1,15853,15006,19433,16.278820596099706,17.08800749063506,17.08800749063506,16.278820596099706,19.313207915827967
6,7,GL003,train,7,1,19433,15853,23443,17.08800749063506,19.313207915827967,19.313207915827967,17.08800749063506,23.430749027719962
7,8,GL003,train,8,2,23443,19433,24296,19.313207915827967,23.430749027719962,23.430749027719962,19.313207915827967,24.71841418861655
8,9,GL003,train,9,2,24296,23443,23937,23.430749027719962,24.71841418861655,24.71841418861655,23.430749027719962,25.709920264364882
9,10,GL003,train,10,2,23937,24296,27475,24.71841418861655,25.709920264364882,25.709920264364882,24.71841418861655,24.535688292770594
10,11,GL003,train,11,2,27475,23937,29028,25.709920264364882,24.535688292770594,24.535688292770594,25.709920264364882,
11,12,GL003,train,12,2,29028,27475,,24.535688292770594,,,24.535688292770594,
12,13,GL016,train,1,1,21073,,21794,,19.4164878389476,19.4164878389476,,18.110770276274835
13,14,GL016,train,2,1,21794,21073,14025,19.4164878389476,18.110770276274835,18.110770276274835,19.4164878389476,16.0312195418814
14,15,GL016,train,3,1,14025,21794,15529,18.110770276274835,16.0312195418814,16.0312195418814,18.110770276274835,18.24828759089466
15,16,GL016,train,4,1,15529,14025,16409,16.0312195418814,18.24828759089466,18.24828759089466,16.0312195418814,16.06237840420901
